Date,Strategy
2014-01-02,1.0
2014-01-03,1.0
2014-01-06,1.0
2014-01-07,1.0
2014-01-08,1.0
2014-01-09,1.0
2014-01-10,1.0
2014-01-13,1.0
2014-01-14,1.0
2014-01-15,1.0
2014-01-16,1.0
2014-01-17,1.0
2014-01-21,1.0
2014-01-22,1.0
2014-01-23,1.0
2014-01-24,1.0
2014-01-27,1.0
2014-01-28,1.0
2014-01-29,1.0
2014-01-30,1.0
2014-01-31,1.0
2014-02-03,1.0
2014-02-04,1.0
2014-02-05,1.0
2014-02-06,1.0
2014-02-07,1.0
2014-02-10,1.0
2014-02-11,1.0
2014-02-12,1.0
2014-02-13,1.0
2014-02-14,1.0
2014-02-18,1.0
2014-02-19,1.0
2014-02-20,1.0
2014-02-21,1.0
2014-02-24,1.0
2014-02-25,1.0
2014-02-26,1.0
2014-02-27,1.0
2014-02-28,1.0
2014-03-03,1.0
2014-03-04,1.0
2014-03-05,1.0
2014-03-06,1.0
2014-03-07,1.0
2014-03-10,1.0
2014-03-11,1.0
2014-03-12,1.0
2014-03-13,1.0
2014-03-14,1.0
2014-03-17,1.0
2014-03-18,1.0
2014-03-19,1.0
2014-03-20,1.0
2014-03-21,1.0
2014-03-24,1.0
2014-03-25,1.0
2014-03-26,1.0
2014-03-27,1.0
2014-03-28,1.0
2014-03-31,1.0
2014-04-01,1.0
2014-04-02,1.0
2014-04-03,1.0
2014-04-04,1.0
2014-04-07,1.0
2014-04-08,1.0
2014-04-09,1.0
2014-04-10,1.0
2014-04-11,1.0
2014-04-14,1.0
2014-04-15,1.0
2014-04-16,1.0
2014-04-17,1.0
2014-04-21,1.0
2014-04-22,1.0
2014-04-23,1.0
2014-04-24,1.0
2014-04-25,1.0
2014-04-28,1.0
2014-04-29,1.0
2014-04-30,1.0
2014-05-01,1.0
2014-05-02,1.0
2014-05-05,1.0
2014-05-06,1.0
2014-05-07,1.0
2014-05-08,1.0
2014-05-09,1.0
2014-05-12,1.0
2014-05-13,1.0
2014-05-14,1.0
2014-05-15,1.0
2014-05-16,1.0
2014-05-19,1.0
2014-05-20,1.0
2014-05-21,1.0
2014-05-22,1.0
2014-05-23,1.0
2014-05-27,1.0
2014-05-28,1.0
2014-05-29,1.0
2014-05-30,1.0
2014-06-02,1.0
2014-06-03,1.0
2014-06-04,1.0
2014-06-05,1.0
2014-06-06,1.0
2014-06-09,1.0
2014-06-10,1.0
2014-06-11,1.0
2014-06-12,1.0
2014-06-13,1.0
2014-06-16,1.0
2014-06-17,1.0
2014-06-18,1.0
2014-06-19,1.0
2014-06-20,1.0
2014-06-23,1.0
2014-06-24,1.0
2014-06-25,1.0
2014-06-26,1.0
2014-06-27,1.0
2014-06-30,1.0
2014-07-01,1.0
2014-07-02,1.0
2014-07-03,1.0
2014-07-07,1.0
2014-07-08,1.0
2014-07-09,1.0
2014-07-10,1.0
2014-07-11,1.0
2014-07-14,1.0
2014-07-15,1.0
2014-07-16,1.0
2014-07-17,1.0
2014-07-18,1.0
2014-07-21,1.0
2014-07-22,1.0
2014-07-23,1.0
2014-07-24,1.0
2014-07-25,1.0
2014-07-28,1.0
2014-07-29,1.0
2014-07-30,1.0
2014-07-31,1.0
2014-08-01,0.9997
2014-08-04,1.0033218996786637
2014-08-05,0.9976701821686829
2014-08-06,0.9959822343295793
2014-08-07,0.9949531677721796
2014-08-08,0.9993543635092248
2014-08-11,1.0027954518599218
2014-08-12,1.0015448069246042
2014-08-13,1.0069894796943732
2014-08-14,1.0108290864497236
2014-08-15,1.0134394875125603
2014-08-18,1.0160203779091708
2014-08-19,1.0179447455062325
2014-08-20,1.016723622502653
2014-08-21,1.0194475304544781
2014-08-22,1.019418019041837
2014-08-25,1.023617295924367
2014-08-26,1.0243852347693896
2014-08-27,1.0268948365769888
2014-08-28,1.0261203521980529
2014-08-29,1.0271540522782356
2014-09-02,1.0238214465509956
2014-09-03,1.0266662691844093
2014-09-04,1.0214049653166501
2014-09-05,1.0236908309212651
2014-09-08,1.0200466399107584
2014-09-09,1.014995404447739
2014-09-10,1.0157710497302141
2014-09-11,1.0135571685601101
2014-09-12,1.007603514095541
2014-09-15,1.0055139454213002
2014-09-16,1.0095047577168859
2014-09-17,1.0065689706923948
2014-09-18,1.0107029639350258
2014-09-19,1.0119047592944344
2014-09-22,1.0074168990210144
2014-09-23,1.0055420828263373
2014-09-24,1.0092191478701305
2014-09-25,1.0014862185972673
2014-09-26,1.0044119746069795
2014-09-29,1.0010282837462894
2014-09-30,1.0004982684127623
2014-10-01,0.9962441886094985
2014-10-02,0.993831203818408
2014-10-03,1.0006672262821066
2014-10-06,1.0028881924706465
2014-10-07,0.997969018788055
2014-10-08,1.0110959493100387
2014-10-09,0.9959138481654403
2014-10-10,0.9869085279303796
2014-10-13,0.9843564370681531
2014-10-14,0.9878436845540726
2014-10-15,0.9848255013487706
2014-10-16,0.9791415697184344
2014-10-17,0.9863744194812483
2014-10-20,0.9934017610562199
2014-10-21,1.0021926608008331
2014-10-22,0.9975008179272765
2014-10-23,1.0012338190490748
2014-10-24,1.0061142475815912
2014-10-27,1.0051180569879274
2014-10-28,1.011868808623636
2014-10-29,1.0095201221492096
2014-10-30,1.0137806441037442
2014-10-31,1.021087205136631
2014-11-03,1.018357883648293
2014-11-04,1.017370630563038
2014-11-05,1.0167770495608064
2014-11-06,1.0137625842661666
2014-11-07,1.0190324419908359
2014-11-10,1.0178304793934316
2014-11-11,1.019238671756145
2014-11-12,1.0181170980447112
2014-11-13,1.0182248068245887
2014-11-14,1.0207911768526283
2014-11-17,1.0166127559112141
2014-11-18,1.0217748597108225
2014-11-19,1.0163050880403317
2014-11-20,1.0194703968077046
2014-11-21,1.0279385392164246
2014-11-24,1.0311854835734546
